City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Smithers,54.78,-127.17,41.0,93,90,2.24,CA,1603846491
Maningrida,-12.07,134.27,90.84,45,67,5.73,AU,1603846491
Albury,-36.08,146.92,68.0,56,97,8.05,AU,1603846247
Chapais,49.78,-74.85,21.2,79,90,8.05,CA,1603846491
Sal Rei,16.18,-22.92,78.8,83,0,16.11,CV,1603846491
Arraial do Cabo,-22.97,-42.03,73.4,94,0,13.87,BR,1603846224
Chui,-33.7,-53.46,62.31,95,100,13.73,UY,1603846492
Constitución,-35.33,-72.42,49.32,80,0,8.25,CL,1603846492
Salinas,36.68,-121.66,68.34,28,1,9.17,US,1603846360
Batouri,4.43,14.37,68.86,94,100,2.1,CM,1603846492
Deputatsky,69.3,139.9,-0.13,93,10,5.7,RU,1603846492
Akhtubinsk,48.28,46.17,38.23,67,100,11.83,RU,1603846492
Leopold,-38.18,144.47,62.19,82,40,8.05,AU,1603846493
Andenes,69.31,16.12,35.6,93,100,8.05,NO,1603846295
Sioux Falls,43.55,-96.7,30.18,55,20,8.05,US,1603846294
Hasaki,35.73,140.83,62.6,82,75,4.7,JP,1603846493
Fortuna,40.6,-124.16,57.51,66,1,6.93,US,1603846493
Pervomayskiy,53.25,40.29,34.0,76,96,9.8,RU,1603846493
Kahului,20.89,-156.47,77.65,66,40,8.05,US,1603846493
Barrow,71.29,-156.79,30.2,74,75,25.28,US,1603846207
Tuatapere,-46.13,167.68,59.0,69,100,8.01,NZ,1603846206
Bukama,-9.2,25.85,71.94,91,100,3.44,CD,1603846494
Rabo de Peixe,37.8,-25.58,64.4,59,75,5.82,PT,1603846495
Altus,34.64,-99.33,31.44,98,99,4.7,US,1603846328
Havre-St-Pierre,50.23,-63.6,30.2,74,1,11.41,CA,1603846495
Fort Saint James,54.43,-124.25,38.97,88,100,3.6,CA,1603846496
Araci,-11.33,-38.97,74.07,89,100,4.74,BR,1603846496
Bilibino,68.05,166.44,5.25,91,100,1.77,RU,1603846497
Plessisville,46.22,-71.76,27.09,68,75,2.24,CA,1603846497
Sinnamary,5.38,-52.95,80.37,80,26,9.8,GF,1603846497
Guerrero Negro,27.98,-114.06,66.52,27,0,19.51,MX,1603846305
Maceió,-9.67,-35.74,77.0,83,75,5.82,BR,1603846416
Sistranda,63.73,8.83,41.0,86,0,5.82,NO,1603846497
Raja,8.46,25.68,73.38,78,97,2.89,SS,1603846498
Gospić,44.55,15.37,53.6,93,20,3.36,HR,1603846498
Qaanaaq,77.48,-69.36,12.09,81,99,12.8,GL,1603846205
Kalmunai,7.42,81.82,79.02,80,2,6.35,LK,1603846498
Tiksi,71.69,128.87,-3.21,90,2,12.73,RU,1603846498
Beringovskiy,63.05,179.32,27.75,92,65,12.5,RU,1603846498
Effium,6.63,8.06,74.23,91,100,4.21,NG,1603846498
Sioux Lookout,50.1,-91.92,26.6,92,90,9.17,CA,1603846499
Harar,9.31,42.13,52.74,40,92,2.86,ET,1603846499
College,64.86,-147.8,27.91,92,90,4.23,US,1603846499
Pavlikeni,43.24,25.32,50.95,100,90,5.82,BG,1603846499
Sovetskiy,61.36,63.58,22.68,97,100,5.57,RU,1603846499
Lázaro Cárdenas,17.96,-102.2,80.67,85,36,7.56,MX,1603846500
San Felipe,10.34,-68.74,72.72,93,43,1.66,VE,1603846500
Mazagão,-0.12,-51.29,84.2,79,0,6.93,BR,1603846500
Port Blair,11.67,92.75,80.69,77,99,3.4,IN,1603846387
East London,-33.02,27.91,67.82,74,18,17.92,ZA,1603846240
Portobelo,9.55,-79.65,81.01,78,40,3.36,PA,1603846501
Montelíbano,7.98,-75.42,77.14,92,100,9.08,CO,1603846501
Nassau,40.75,-73.58,54.88,62,90,3.36,US,1603846356
Margate,51.38,1.39,50.13,82,100,1.99,GB,1603846501
Coyhaique,-45.58,-72.07,41.0,86,90,4.7,CL,1603846268
Bonnyville,54.27,-110.73,44.6,85,90,14.99,CA,1603846502
Stornoway,58.21,-6.39,40.37,100,100,2.24,GB,1603846502
Codrington,-38.27,141.97,60.91,74,98,4.72,AU,1603846503
Alice Town,25.72,-79.3,82.06,79,46,15.9,BS,1603846503
Puerto Escondido,15.85,-97.07,78.8,69,90,4.7,MX,1603846262
Coquimbo,-29.95,-71.34,53.6,87,0,5.82,CL,1603846213
Hokitika,-42.72,170.97,58.73,70,98,7.27,NZ,1603846286
Vanavara,60.34,102.28,20.41,92,99,11.07,RU,1603846504
Abhā,18.22,42.51,54.45,27,0,7.74,SA,1603846504
Ilo,-17.64,-71.34,61.92,79,32,4.23,PE,1603846504
Ecoporanga,-18.37,-40.83,73.35,95,96,3.85,BR,1603846385
George Town,5.41,100.34,79.34,88,20,4.47,MY,1603846425
Sipe Sipe,-17.45,-66.38,69.8,40,20,9.17,BO,1603846406
Makakilo City,21.35,-158.09,81.14,69,1,3.36,US,1603846298
Bredasdorp,-34.53,20.04,62.6,88,100,4.7,ZA,1603846505
Provideniya,64.38,-173.3,32.0,95,75,6.71,RU,1603846505
Jiménez,28.33,-105.4,50.68,43,0,24.58,MX,1603846506
Talnakh,69.49,88.4,-4.41,81,0,5.3,RU,1603846506
Steamboat Springs,40.48,-106.83,24.33,45,1,1.52,US,1603846506
Prainha,-1.8,-53.48,82.99,59,0,3.62,BR,1603846506
Kānt,27.8,79.8,64.08,40,0,4.16,IN,1603846506
Port Said,31.26,32.28,75.2,88,0,8.05,EG,1603846506
Souillac,-20.52,57.52,70.0,80,6,3.0,MU,1603846242
Port Antonio,18.18,-76.46,80.38,83,20,4.7,JM,1603846439
Oranjemund,-28.55,16.43,55.9,91,12,2.71,NA,1603846507
Saint Paul Harbor,57.79,-152.41,44.6,56,1,21.92,US,1603846507
Saskylakh,71.92,114.08,5.65,93,100,11.86,RU,1603846507
Lorengau,-2.02,147.27,86.32,63,77,1.88,PG,1603846236
Broome,42.25,-75.83,43.7,87,90,4.7,US,1603846508
Avera,33.19,-82.53,69.82,94,90,4.7,US,1603846508
Barranca,-10.75,-77.77,62.2,90,100,6.22,PE,1603846508
Hohhot,40.81,111.65,26.6,58,0,4.47,CN,1603846508
Cidreira,-30.18,-50.21,63.07,87,100,11.72,BR,1603846268
Sjøvegan,68.87,17.85,19.83,92,32,9.17,NO,1603846508
Saint George,37.1,-113.58,60.8,9,1,4.97,US,1603846224
Vardø,70.37,31.11,42.37,94,100,9.51,NO,1603846509
Dikson,73.51,80.55,5.61,95,100,16.98,RU,1603846509
Chernigovka,44.34,132.57,45.19,56,0,6.02,RU,1603846510
Mitchell,43.71,-98.03,32.0,96,20,8.05,US,1603846220
Marakkanam,12.2,79.95,77.05,81,71,8.46,IN,1603846510
Carnarvon,-24.87,113.63,71.6,68,0,24.16,AU,1603846252
Torbay,47.67,-52.73,38.12,100,90,10.29,CA,1603846510
Pevek,69.7,170.31,20.07,97,100,12.33,RU,1603846511
Werda,-25.27,23.28,78.24,25,0,15.21,BW,1603846511
Todos Santos,23.45,-110.22,78.01,57,5,5.99,MX,1603846354
Selma,36.57,-119.61,68.09,32,1,4.7,US,1603846511
Cravo Norte,6.3,-70.2,79.23,83,97,6.67,CO,1603846511
Vavoua,7.38,-6.48,72.52,81,52,2.95,CI,1603846512
Nanortalik,60.14,-45.24,30.45,90,100,3.33,GL,1603846512
Klaksvík,62.23,-6.59,44.6,81,100,9.17,FO,1603846512
Ardahan,41.11,42.7,45.59,50,90,2.77,TR,1603846512
Puro,12.48,123.38,83.98,72,33,4.29,PH,1603846512
Kavaratti,10.57,72.64,81.59,75,88,6.64,IN,1603846255
Palmer,42.16,-72.33,47.12,90,100,3.27,US,1603846513
Chernyshevskiy,63.01,112.47,14.58,97,94,3.62,RU,1603846297
Coaraci,-14.64,-39.55,72.41,97,100,1.9,BR,1603846226
Upernavik,72.79,-56.15,16.23,78,0,5.37,GL,1603846513
Zaqatala,41.63,46.64,57.2,87,40,2.24,AZ,1603846513
Ribeira Grande,38.52,-28.7,62.82,60,100,3.58,PT,1603846513
Tasiilaq,65.61,-37.64,33.8,37,100,21.92,GL,1603846513
San Cristobal,7.77,-72.22,67.44,92,92,1.59,VE,1603846514
Ust-Nera,64.57,143.2,12.72,81,90,1.74,RU,1603846276
Golubitskaya,45.32,37.28,51.8,81,0,8.95,RU,1603846514
Port Lincoln,-34.73,135.87,63.59,59,0,7.81,AU,1603846514
Tabou,4.42,-7.35,77.81,87,100,5.5,CI,1603846514
Luau,-10.71,22.22,66.51,96,100,2.26,AO,1603846514
Pasni,25.26,63.47,73.31,52,0,6.96,PK,1603846514
Kim,40.21,70.47,42.8,51,90,22.37,TJ,1603846515
Belfast,54.58,-5.93,44.22,81,100,18.34,GB,1603846424
Kurmanayevka,52.51,52.07,30.87,91,100,1.16,RU,1603846516
General Roca,-39.03,-67.58,59.0,33,0,11.41,AR,1603846516
Yar-Sale,66.83,70.83,2.1,92,0,6.42,RU,1603846516
Saldanha,-33.01,17.94,59.0,87,100,2.24,ZA,1603846516
Jiayuguan City,39.82,98.3,39.6,65,0,6.06,CN,1603846516
Atasū,48.68,71.64,31.05,95,100,13.27,KZ,1603846517
Billings Metropolitan Area,45.78,-108.5,34.93,60,4,1.99,US,1603846299
Chaplynka,46.37,33.54,53.89,84,0,10.0,UA,1603846517
Iralaya,15.0,-83.23,81.27,85,100,6.71,HN,1603846517
Enshi,30.3,109.48,56.93,83,100,2.42,CN,1603846517
Porto-Novo,6.5,2.6,80.6,88,40,11.41,BJ,1603846518
Puntarenas,9.98,-84.84,71.6,94,90,5.82,CR,1603846251
Belen,36.49,36.22,71.6,26,0,5.82,TR,1603846518
Caruray,10.31,119.01,77.0,100,90,4.7,PH,1603846518
Arrondissement de Limoges,45.75,1.33,51.8,100,90,12.75,FR,1603846518
Walvis Bay,-22.96,14.51,59.0,82,100,4.7,NA,1603846518
Shenjiamen,29.96,122.3,67.42,73,1,10.76,CN,1603846519
Baiyin,36.56,104.21,38.08,93,90,8.95,CN,1603846411
Fort Frances,48.6,-93.4,30.2,50,90,13.87,CA,1603846519
Termez,37.22,67.28,51.8,37,77,9.17,UZ,1603846519
Santa Maria,-29.68,-53.81,64.4,93,0,4.7,BR,1603846519
Mossamedes,-15.2,12.15,71.11,79,0,3.27,AO,1603846519
Velasco Ibarra,-1.05,-79.62,78.64,70,100,3.47,EC,1603846519
Wilmington,34.23,-77.94,65.8,88,1,3.29,US,1603846519
Marawi,8.0,124.29,82.99,77,42,1.99,PH,1603846520
Maba,24.68,113.6,73.49,62,0,4.43,CN,1603846520
Baruun-Urt,46.68,113.28,31.33,74,0,8.28,MN,1603846520
Sitka,57.05,-135.33,46.4,87,75,8.05,US,1603846520
Kilcormac,53.17,-7.73,43.66,86,1,15.99,IE,1603846521
Yenagoa,4.92,6.26,75.79,95,54,2.86,NG,1603846521
Mugur-Aksy,50.35,90.5,25.54,81,100,7.36,RU,1603846522
Yeppoon,-23.13,150.73,84.2,54,20,5.82,AU,1603846522
Sungai Raya,0.7,108.9,81.39,77,71,8.61,ID,1603846522
Barra de Tecoanapa,16.52,-98.75,81.12,84,48,7.54,MX,1603846522
Olive Branch,34.96,-89.83,59.54,93,90,5.82,US,1603846522
Sayyan,15.17,44.32,44.98,47,0,4.23,YE,1603846522
Flin Flon,54.77,-101.86,26.11,98,100,5.84,CA,1603846522
Elizabeth City,36.29,-76.25,64.18,95,40,4.74,US,1603846523
Philadelphia,39.95,-75.16,56.8,71,20,0.58,US,1603846350
Hammerfest,70.66,23.68,32.0,78,0,12.75,NO,1603846398
Limbe,4.02,9.21,77.0,100,40,1.12,CM,1603846523
Aksu,41.12,80.26,41.02,58,100,2.68,CN,1603846307
Wasilla,61.58,-149.44,32.47,100,90,2.21,US,1603846523
Lebu,-37.62,-73.65,50.83,84,100,11.36,CL,1603846523
Wuwei,37.93,102.64,39.99,84,0,2.08,CN,1603846524
Cabo San Lucas,22.89,-109.91,73.99,69,34,18.01,MX,1603846524
Port-Gentil,-0.72,8.78,78.08,84,100,8.01,GA,1603846524
Laas,46.62,10.7,38.95,100,44,2.71,IT,1603846524
Ust'-Karsk,52.7,118.81,27.27,82,0,2.33,RU,1603846524
Tura,25.52,90.22,69.91,87,0,3.74,IN,1603846524
Mahébourg,-20.41,57.7,70.0,80,4,4.0,MU,1603846525
Emerald,-23.53,148.17,81.66,57,4,9.17,AU,1603846525
Cumberland,35.05,-78.87,69.01,77,1,2.95,US,1603846525
Aras,42.56,-2.36,48.7,93,20,0.6,ES,1603846525
Westport,41.14,-73.36,52.72,54,90,4.7,US,1603846525
Tuktoyaktuk,69.45,-133.04,12.2,92,90,12.75,CA,1603846525
Cibitoke Province,-2.88,29.25,64.74,85,100,2.35,BI,1603846525
Sungai Penuh,-2.08,101.38,71.37,74,96,1.21,ID,1603846526
Kruisfontein,-34.0,24.73,57.99,96,0,6.64,ZA,1603846254
Aberdeen,57.14,-2.1,41.29,87,100,4.7,GB,1603846526
Vestmannaeyjar,63.44,-20.27,41.22,70,30,24.79,IS,1603846526
Benjamin Constant,-4.38,-70.03,78.8,88,0,0.2,BR,1603846387
Bagdarin,54.43,113.6,18.82,83,100,0.11,RU,1603846527
Waitati,-45.75,170.57,55.0,70,70,18.99,NZ,1603846527
Acaraú,-2.89,-40.12,78.12,82,100,10.89,BR,1603846528
Chiredzi,-21.05,31.67,69.28,55,0,4.29,ZW,1603846529
Natitingou,10.3,1.38,68.0,77,66,6.93,BJ,1603846529
Tonantins,-2.87,-67.8,76.35,95,100,2.86,BR,1603846529
Santa Cruz,30.42,-9.6,57.2,87,0,3.36,MA,1603846530
Chiang Rai,19.92,99.92,73.26,100,20,2.62,TH,1603846530
Krasnosel'kup,65.7,82.47,-1.86,88,0,14.83,RU,1603846530
Maunabo,18.01,-65.9,77.74,100,21,13.18,PR,1603846530
Ovsyanka,55.96,92.55,37.4,79,0,6.71,RU,1603846530
Isangel,-19.55,169.27,79.88,68,16,15.66,VU,1603846530
Gamba,-2.65,10.0,76.42,89,100,8.75,GA,1603846448
Longyearbyen,78.22,15.64,30.2,80,75,2.24,SJ,1603846236
Labuhan,-6.88,112.21,82.45,75,100,9.4,ID,1603846531
Adré,13.47,22.2,76.89,23,25,14.18,TD,1603846531
Puerto Baquerizo Moreno,-0.9,-89.6,67.98,87,100,9.69,EC,1603846343
Gusau,12.16,6.66,74.7,28,4,4.79,NG,1603846531
Washougal,45.58,-122.35,53.08,47,1,1.72,US,1603846532
San Vicente,-26.62,-54.13,58.69,71,0,0.4,AR,1603846532
Along,28.17,94.77,63.73,78,0,1.63,IN,1603846532
Saint-Paul,-21.01,55.27,64.56,77,0,9.17,RE,1603846532
Harlingen,26.19,-97.7,57.4,82,90,13.87,US,1603846284
Los Llanos de Aridane,28.66,-17.92,66.38,64,90,9.17,ES,1603846532
Qui Nhon,13.77,109.23,75.74,83,100,54.27,VN,1603846532
Corn Island,12.17,-83.04,83.19,80,100,6.13,NI,1603846533
Cherskiy,68.75,161.3,14.59,93,100,8.57,RU,1603846533
Arvika,59.66,12.59,45.64,93,87,12.75,SE,1603846533
San Andrés,12.58,-81.7,84.2,83,40,6.93,CO,1603846533
Haines Junction,60.75,-137.51,29.95,95,100,2.26,CA,1603846533
Lompoc,34.64,-120.46,68.02,45,1,11.41,US,1603846485
Flinders,-34.58,150.86,66.99,73,98,4.0,AU,1603846534
Port Hardy,50.7,-127.42,48.2,93,90,6.93,CA,1603846534
Chokurdakh,70.63,147.92,12.81,97,100,3.8,RU,1603846534
Laguna,38.42,-121.42,72.77,18,1,4.7,US,1603846534
Mulegé,26.88,-111.98,66.34,48,0,18.39,MX,1603846534
Marystown,47.17,-55.15,47.37,88,76,17.74,CA,1603846535
Meulaboh,4.14,96.13,77.59,84,82,3.98,ID,1603846245
Tilichiki,60.47,166.1,26.46,89,7,9.78,RU,1603846258
São João da Barra,-21.64,-41.05,74.55,90,100,14.63,BR,1603846236
Ekhabi,53.51,142.97,41.49,74,97,4.81,RU,1603846536
Kavieng,-2.57,150.8,84.63,66,82,2.48,PG,1603846536
Santa Vitória do Palmar,-33.52,-53.37,62.78,94,100,13.8,BR,1603846536
Bestöbe,52.5,73.1,28.76,95,100,21.03,KZ,1603846536
Waipawa,-41.41,175.52,60.06,72,99,18.34,NZ,1603846536
Florianópolis,-27.61,-48.5,69.82,94,20,5.82,BR,1603846478
Vila Franca do Campo,37.72,-25.43,64.4,59,75,5.82,PT,1603846537
Oxbow,49.23,-102.17,37.99,87,100,5.99,CA,1603846442
Nuuk,64.18,-51.72,24.8,73,8,8.05,GL,1603846537
Inírida,3.87,-67.92,75.85,95,100,3.2,CO,1603846537
Anking,30.51,117.05,63.27,80,100,10.49,CN,1603846537
Sibolga,1.74,98.78,80.98,68,28,1.48,ID,1603846301
Palauig,15.44,119.9,84.16,72,90,2.62,PH,1603846538
Uvalde,29.37,-99.77,39.2,100,90,8.05,US,1603846538
Alta,69.97,23.27,24.8,92,0,2.51,NO,1603846538
Santa Maria do Suaçuí,-18.19,-42.41,70.68,91,26,1.7,BR,1603846538
Albania,41.0,20.0,51.8,93,0,2.24,AL,1603846538
Samarai,-10.62,150.67,82.98,78,2,9.78,PG,1603846538
Tiznit Province,29.58,-9.5,62.02,61,100,1.19,MA,1603846538
Pascagoula,30.37,-88.56,78.62,83,90,5.82,US,1603846539
Aleksandrovskoye,44.71,43.0,51.4,87,90,17.9,RU,1603846539
Lakes Entrance,-37.88,147.98,64.0,75,43,4.0,AU,1603846539
Grand-Santi,4.25,-54.38,77.29,87,99,3.78,GF,1603846539
Aswān,24.09,32.91,76.46,39,0,7.83,EG,1603846539
Mgachi,51.05,142.27,42.44,70,88,3.47,RU,1603846539
Cairo,30.06,31.25,71.29,73,20,8.05,EG,1603846319
Pisco,-13.7,-76.22,62.78,82,0,19.46,PE,1603846463
Churapcha,62.0,132.43,8.46,93,100,3.74,RU,1603846540
San Fernando,15.03,120.69,82.4,78,75,4.7,PH,1603846540
Norman Wells,65.28,-126.83,15.8,85,20,5.82,CA,1603846540
Ulverstone,-41.15,146.17,60.39,56,66,7.0,AU,1603846541
Caraquet,47.79,-64.94,32.95,88,75,9.17,CA,1603846541
George,-33.96,22.46,57.2,87,0,4.7,ZA,1603846541
Cauquenes,-35.97,-72.32,46.44,84,99,5.61,CL,1603846542
Tabas,33.6,56.92,57.2,28,0,4.7,IR,1603846542
Urusha,54.05,122.9,19.92,90,93,5.93,RU,1603846542
Naantali,60.47,22.02,49.35,93,75,10.29,FI,1603846542
Caernarfon,53.14,-4.27,50.43,71,59,23.04,GB,1603846543
Camacha,33.08,-16.33,66.2,77,75,2.24,PT,1603846543
Caramay,10.18,119.24,83.73,74,99,5.66,PH,1603846543
Bud,39.45,-86.18,45.21,100,90,4.63,US,1603846543
Heihe,50.24,127.49,33.8,80,75,4.47,CN,1603846543
Bogorodskoye,56.55,37.88,42.48,86,21,11.95,RU,1603846543
Dera Bugti,29.03,69.15,63.21,29,0,1.28,PK,1603846544
Barrhead,55.8,-4.39,46.13,87,75,16.11,GB,1603846544
São Raimundo Nonato,-9.02,-42.7,73.83,86,100,3.2,BR,1603846544
Holeby,54.71,11.46,51.01,79,100,10.0,DK,1603846544
Taguatinga,-12.39,-46.57,78.06,66,93,4.68,BR,1603846544
Nabire,-3.37,135.48,83.93,67,100,0.83,ID,1603846506
Zharkent,44.16,80.0,46.36,56,100,4.07,KZ,1603846545
Polovinnoye,54.79,65.99,24.33,94,46,14.72,RU,1603846545
Indramayu,-6.33,108.32,82.2,71,97,4.38,ID,1603846545
Manjo,4.84,9.82,69.44,93,30,1.66,CM,1603846545
Prince Albert,53.2,-105.77,39.2,86,75,12.75,CA,1603846545
Kingman,35.19,-114.05,57.2,11,1,18.34,US,1603846421
